tahun,jenis_api,nilai_produksi,jumlah_hari,pelabuhan_kedatangan_id,pelabuhan_keberangkatan_id,kelas_pelabuhan,provinsi,tanggal_berangkat,tanggal_kedatangan,nama_ikan_id,berat
2018,Jala jatuh berkapal,234632200,203,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-07-10,2018-01-28,Cumi-Cumi,4637
2018,Bouke ami,127746000,111,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-10,2018-01-28,Cumi-Cumi,5436
2018,Bouke ami,208005000,74,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-11-16,2018-01-28,Cumi-Cumi,5943
2018,Jaring insang berlapis,588000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-28,2018-01-29,Kembung Perempuan [RAB],21
2018,Bouke ami,84036000,103,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-19,2018-01-29,Cumi-Cumi,3576
2018,Jala jatuh berkapal,154385000,49,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-12-12,2018-01-29,Cumi-Cumi,4411
2018,Jala jatuh berkapal,506607200,49,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-12-12,2018-01-29,Cumi-Cumi,10012
2018,Jaring insang berlapis,728000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-29,2018-01-30,Kembung Perempuan [RAB],26
2018,Bouke ami,219020000,97,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-26,2018-01-30,Cumi-Cumi,9320
2018,Jaring insang berlapis,672000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-30,2018-01-31,Kembung Perempuan [RAB],24
2018,Bouke ami,500000,77,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-16,2018-01-31,Kembung Lelaki,40
2018,Bouke ami,38939500,77,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-16,2018-01-31,Cumi-Cumi,1657
2018,Jala jatuh berkapal,164920000,199,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-07-17,2018-01-31,Cumi-Cumi,4712
2018,Jala jatuh berkapal,136159000,89,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-04,2018-01-31,Cumi-Cumi,5794
2018,Jala jatuh berkapal,526138800,199,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-07-17,2018-01-31,Cumi-Cumi,10398
2018,Jaring insang berlapis,868000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-01-31,2018-02-01,Kembung Perempuan [RAB],31
2018,Bouke ami,61180000,161,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-08-25,2018-02-01,Cumi-Cumi,1748
2018,Bouke ami,211912800,161,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-08-25,2018-02-01,Cumi-Cumi,4188
2018,Jaring insang berlapis,440000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-02,2018-02-03,Kembung Perempuan [RAB],22
2018,Bouke ami,35315000,101,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-26,2018-02-03,Cumi-Cumi,1009
2018,Jala jatuh berkapal,35560000,97,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-30,2018-02-03,Cumi-Cumi,1016
2018,Bouke ami,159693600,101,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-26,2018-02-03,Cumi-Cumi,3156
2018,Bouke ami,287640000,102,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-10-25,2018-02-03,Cumi-Cumi,4794
2018,Jala jatuh berkapal,342865600,97,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-10-30,2018-02-03,Cumi-Cumi,6776
2018,Bouke ami,225000,87,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-11-10,2018-02-04,Kembung Perempuan [RAB],9
2018,Jaring insang berlapis,980000,2,PPN. Karangantu,PPN. Karangantu,PPN,Banten,2018-02-03,2018-02-04,Kembung Perempuan [RAB],35
2018,Bouke ami,140111400,87,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-11-10,2018-02-04,Cumi-Cumi,2769
2018,Jala jatuh berkapal,72051000,83,PPS. Nizam Zachman,PPS. Nizam Zachman,PPS,DKI. Jakarta,2017-11-14,2018-02-04,Cumi-Cumi,3066
2018,Bouke ami,166670000,87,PPN. Kejawanan,PPN. Kejawanan,PPN,Jawa Barat,2017-11-10,2018-02-04,Cumi-Cumi,4762
